NTAName,Pop_1E,MaleE,FemE,Hsp1E,NHspE,WtNHE,BlNHE,AIANNHE,AsnNHE,NHPINHE,OthNHE,Rc2plNHE,BoroCode,Shape_Leng,Shape_Area
Howard Beach-Lindenwood,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,73875.0861483,52604804.0465
Hunts Point,30068.448979591838,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.61224489795916,476.59183673469386,2.0,37430.317447,45038858.63729999
Hutchinson Metro Center,30068.448979591838,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.61224489795916,476.59183673469386,2.0,20683.484157,12189729.335800001
Inwood,43615.10526315789,20781.973684210527,22833.13157894737,11036.684210526315,32578.42105263158,20508.105263157893,5279.289473684211,41.973684210526315,5196.421052631579,9.842105263157896,272.44736842105266,1270.342105263158,1.0,23347.4043037,14437615.803400002
Inwood Hill Park,43615.10526315789,20781.973684210527,22833.13157894737,11036.684210526315,32578.42105263158,20508.105263157893,5279.289473684211,41.973684210526315,5196.421052631579,9.842105263157896,272.44736842105266,1270.342105263158,1.0,20537.2051943,10007466.9247
Jackson Heights,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,27112.8052247,39315143.6312
Jacob Riis Park-Fort Tilden-Breezy Point Tip,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,63380.5467753,52637903.9736
Jamaica,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,41767.6656155,46830463.4565
Jamaica Bay (East),28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,148864.816272,69920670.4073
Jamaica Bay (West),39309.565217391304,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,136901.829722,39754276.8935
Jamaica Estates-Holliswood,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,32384.300050199996,39411596.0748
Jamaica Hills-Briarwood,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,29649.1629441,27602417.6831
John F. Kennedy International Airport,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,103582.25394300002,197189858.869
Kensington,39309.565217391304,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,20316.7344947,17471228.5678
Kew Gardens,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,21653.2155934,20284898.865
Kew Gardens Hills,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,28339.3049048,34306412.9191
Kingsbridge Heights-Van Cortlandt Village,30068.448979591838,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.61224489795916,476.59183673469386,2.0,20452.7868037,10966721.1851
Kingsbridge-Marble Hill,30068.448979591838,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.61224489795916,476.59183673469386,2.0,19810.9644057,12312473.8953
Kissena Park,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,15362.4024507,11015411.5821
LaGuardia Airport,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,40422.8383252,30591951.893200003
Laurelton,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,30011.2811217,39840608.8574
Lincoln Terrace Park,39309.565217391304,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,4568.61695824,1214617.20439
